ID,authors,title,journal,year_pub,pages,journal_issue,type,number_authors,collaborative,full_reference,lead_author_institution,institution_country,institution_type,country_topic,theory_topic,subject_topic,method_topic
11,"Scott, S",A Theoretical Framework for the Study of Romano–British Villa Mosaics,Theoretical Roman Archaeology Conference Proceedings,1993,pp.103-114,1,proc,1,FALSE,"Scott, S., 1993. A Theoretical Framework for the Study of Romano–British Villa Mosaics. Theoretical Roman Archaeology Journal, (1991), pp.103–114. DOI: http://doi.org/10.16995/TRAC1991_103_114",University of Leicester,England,University,,society nature symbolism,villa mosaic architecture,
12,"Scott, E & Poulton, R","The Hoarding, Deposition and Use of Pewter in Roman Britain",Theoretical Roman Archaeology Conference Proceedings,1993,pp.115-132,1,proc,2,TRUE,"Poulton, R. and Scott, E., 1993. The Hoarding, Deposition and Use of Pewter in Roman Britain. Theoretical Roman Archaeology Journal, (1991), pp.115–132. DOI: http://doi.org/10.16995/TRAC1991_115_132",Newcastle University,England,University,Britain,ritual structured-deposition,hoards pewter,
13,"Rainsbury Dark, K.",Roman-Period Activity at Prehistoric Ritual Monuments in Britain and in the Armorican Peninsula,Theoretical Roman Archaeology Conference Proceedings,1993,pp.133-146,1,proc,1,FALSE,"Dark, K.R., 1993. Roman-Period Activity at Prehistoric Ritual Monuments in Britain and in the Armorican Peninsula. Theoretical Roman Archaeology Journal, (1991), pp.133–146. DOI: http://doi.org/10.16995/TRAC1991_133_146",Unknown,Unknown,Unknown,Britain France,ritual monumentality,monument prehistory,
14,"Southern, P",Comparative Frontier Studies,Theoretical Roman Archaeology Conference Proceedings,1993,pp.147-154,1,proc,1,FALSE,"Southern, P., 1993. Comparative Frontier Studies. Theoretical Roman Archaeology Journal, (1991), pp.147–154. DOI: http://doi.org/10.16995/TRAC1991_147_154",Newcastle University,England,University,Britain,frontier,military,
15,"Alcock, S",Spaced-Out Sanctuaries: the Ritual Landscape of Roman Greece,Theoretical Roman Archaeology Conference Proceedings,1993,pp.155-165,1,proc,1,FALSE,"Alcock, S., 1993. Spaced-Out Sanctuaries: the Ritual Landscape of Roman Greece. Theoretical Roman Archaeology Journal, (1991), pp.155–165. DOI: http://doi.org/10.16995/TRAC1991_155_165",University of Michigan,USA,University,Greece,religion landscape,sanctuary,
16,"van Dommelen, P",Roman Peasant and Rural Organisation in Central Italy: An Archaeological Perspective,Theoretical Roman Archaeology Conference Proceedings,1993,pp.167-186,1,proc,1,FALSE,"Dommelen, P. van ., 1993. Roman Peasant and Rural Organisation in Central Italy: An Archaeological Perspective. Theoretical Roman Archaeology Journal, (1991), pp.166–176. DOI: http://doi.org/10.16995/TRAC1991_167_186",Brown University,USA,University,Italy,landscape,rural,
17,"Rush, P.",Preface and Editor’s Introduction,Theoretical Roman Archaeology Conference Proceedings,1994,pp.i-xiii,2,proc,1,FALSE,"Rush, P., 1995. Preface and Editor’s Introduction. Theoretical Roman Archaeology Journal, (1992), p.i–xiii. DOI: http://doi.org/10.16995/TRAC1992_i_xiii",University of Bradford,England,University,,,preface,
18,"van Driel Murray, C",Gender in Question,Theoretical Roman Archaeology Conference Proceedings,1994,pp.3-21,2,proc,1,FALSE,"van Driel-Murray, C., 1995. Gender in Question. Theoretical Roman Archaeology Journal, (1992), pp.3–21. DOI: http://doi.org/10.16995/TRAC1992_3_21",University of Amsterdam,Amsterdam,University,,gender,shoes,
19,"Allason-Jones, L",'Sexing' Roman Finds,Theoretical Roman Archaeology Conference Proceedings,1994,pp.22-32,2,proc,1,FALSE,"Allason-Jones, L., 1995. ‘Sexing’ Small Finds . Theoretical Roman Archaeology Journal, (1992), pp.22–32. DOI: http://doi.org/10.16995/TRAC1992_22_32",Newcastle University,England,University,,gender,artefacts,
20,"Evans, J","Romans Finds Assemblages, towards an Integrated Approach?",Theoretical Roman Archaeology Conference Proceedings,1994,pp.33-58,2,proc,1,FALSE,"Evans, J., 1995. Roman Finds Assemblages, Towards an Integrated Approach?. Theoretical Roman Archaeology Journal, (1992), pp.33–58. DOI: http://doi.org/10.16995/TRAC1992_33_58",Freelance Archaeologist,Unknown,Unknown,Britain,practice,artefacts,
21,"Wilmott, T",Collapse Theory and the End of Birdoswald,Theoretical Roman Archaeology Conference Proceedings,1994,pp.59-69,2,proc,1,FALSE,"Wilmott, T., 1995. Collapse Theory and the End of Birdoswald . Theoretical Roman Archaeology Journal, (1992), pp.56–69. DOI: http://doi.org/10.16995/TRAC1992_59_69",English Heritage,England,National heritage body,Britain,collapse frontier,military transition,
22,"Struck, M",Analysis of Social and Cultural Diversity on Rural Burial Sites in North-Eastern Raetia,Theoretical Roman Archaeology Conference Proceedings,1994,pp.70-80,2,proc,1,FALSE,"Struck, M., 1995. Analysis of Social and Cultural Diversity on Rural Burial Sites in North-Eastern Raetia. Theoretical Roman Archaeology Journal, (1992), pp.70–80. DOI: http://doi.org/10.16995/TRAC1992_70_80",Johannes Gutenberg-Universität Mainz,Germany,University,Germany Switzerland,diversity society culture,burial,
23,"Clarke, S",Location Models and the Study of Romano-British Small Towns,Theoretical Roman Archaeology Conference Proceedings,1994,pp.81-91,2,proc,1,FALSE,"Clarke, S., 1995. Location Models and the Study of Romano-British Small Towns. Theoretical Roman Archaeology Journal, (1992), pp.81–91. DOI: http://doi.org/10.16995/TRAC1992_81_91",University of Bradford,England,University,Britain,urbanism central-place,settlement small-town,
24,"Ellis, S.P",Prologue to a Study of Roman Urban Form,Theoretical Roman Archaeology Conference Proceedings,1994,pp.92-104,2,proc,1,FALSE,"Ellis, S.P., 1995. Prologue to a Study of Roman Urban Form. Theoretical Roman Archaeology Journal, (1992), pp.92–104. DOI: http://doi.org/10.16995/TRAC1992_92_104",Lothian Regional Council,Scotland,Local Authority,Turkey Libya,urbanism space,,urban-planning
25,"Scott, S",Symbols of Power and Nature: the Orpheus Mosaics of Fourth Century Britain and Their Architectural Contexts,Theoretical Roman Archaeology Conference Proceedings,1994,pp.105-123,2,proc,1,FALSE,"Scott, S., 1995. Symbols of Power and Nature: The Orpheus Mosaic of Fourth Century Britain and Their Architectural Contexts. Theoretical Roman Archaeology Journal, (1992), pp.105–123. DOI: http://doi.org/10.16995/TRAC1992_105_123",Durham University,England,University,Britain,symbolism society,mosaic architecture,
26,"Kurchin, B",Romans and Britons on the Northern Frontier: a Theoretical Evaluation of the Archaeology of Resistance,Theoretical Roman Archaeology Conference Proceedings,1994,pp.124-131,2,proc,1,FALSE,"Kurchin, B., 1995. Romans and Britons on the Northern Frontier: A Theoretical Evaluation of the Archaeology of Resistance . Theoretical Roman Archaeology Journal, (1992), pp.124–131. DOI: http://doi.org/10.16995/TRAC1992_124_131",University of New York,USA,University,Britain,frontier resistance,,
27,"Ferris, I",Shopper's Paradise: Consumers in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1994,pp.132-140,2,proc,1,FALSE,"Ferris, I., 1995. Shoppers’ Paradise: Consumers in Roman Britain. Theoretical Roman Archaeology Journal, (1992), pp.132–140. DOI: http://doi.org/10.16995/TRAC1992_132_140",University of Birmingham,England,University,Britain,consumption,material-culture,
28,"Rush, P",Economy and Space in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1994,pp.141-147,2,proc,1,FALSE,"Rush, P., 1995. Economy and Space in Roman Britain. Theoretical Roman Archaeology Journal, (1992), pp.141–147. DOI: http://doi.org/10.16995/TRAC1992_141_147",University of Bradford,England,University,Britain,space economy,,
29,"Monaghan, J",Roman Pottery Research for the 1990s,Theoretical Roman Archaeology Conference Proceedings,1994,pp.148-157,2,proc,1,FALSE,"Monaghan, J., 1995. Roman Pottery Research for the 1990s . Theoretical Roman Archaeology Journal, (1992), pp.148–157. DOI: http://doi.org/10.16995/TRAC1992_148_157",Freelance Archaeologist,Unknown,Unknown,Britain,economy society,pottery,
30,"Jones, M","Theory, Practice and Research in an Urban Unit: a Personal Perspective",Theoretical Roman Archaeology Conference Proceedings,1994,pp.158-173,2,proc,1,FALSE,"Jones, M.J., 1995. Theory, Practice, and Research in an Urban Unit: A Personal Perspective . Theoretical Roman Archaeology Journal, (1992), pp.158–173. DOI: http://doi.org/10.16995/TRAC1992_158_173",City of Lincoln Archaeology Unit,England,Commercial archaeological contractor,,practice urbanism,commercial-archaeology academia,
31,"Scott, E",Women and Gender Relations in the Roman Empire,Theoretical Roman Archaeology Conference Proceedings,1994,pp.174-189,2,proc,1,FALSE,"Scott, E., 1995. Women and Gender Relations in the Roman Empire. Theoretical Roman Archaeology Journal, (1992), pp.174–189. DOI: http://doi.org/10.16995/TRAC1992_174_189","King Alfred's University College, Winchester",England,University,,gender feminism,,historiography text
32,"Leslie, A",Front Matter,Theoretical Roman Archaeology Conference Proceedings,1999,pp.i-iii,3,proc,1,FALSE,"Leslie, A., 1999. Preface. Theoretical Roman Archaeology Journal, (1993), p.i–ii. DOI: http://doi.org/10.16995/TRAC1993_i_iii",University of Glasgow,Scotland,University,,,preface,
33,"Cottam, S Dungworth, D Scott, S Taylor, J",Preface,Theoretical Roman Archaeology Conference Proceedings,1995,pp.i-iv,4,proc,4,TRUE,"Cottam, S., Dungworth, D., Scott, S. and Taylor, J., 1995. Preface and Editor’s Preface. Theoretical Roman Archaeology Journal, (1994), p.i–iv. DOI: http://doi.org/10.16995/TRAC1994_i_iv",Durham University,England,University,,,preface,
34,"Webster, J",The Just War: Graeco-Roman Texts as Colonial Discourse,Theoretical Roman Archaeology Conference Proceedings,1995,pp.1-10,4,proc,1,FALSE,"Webster, J., 1995. The Just War: Graeco-Roman Texts as Colonial Discourse. Theoretical Roman Archaeology Journal, (1994), pp.1–10. DOI: http://doi.org/10.16995/TRAC1994_1_10",Newcastle University,England,University,France,colonialism,,text
35,"Hingley, R","Britannia, Origin Myths and the British Empire",Theoretical Roman Archaeology Conference Proceedings,1995,pp.11-23,4,proc,1,FALSE,"Hingley, R., 1995. Britannia, Origin Myths and the British Empire . Theoretical Roman Archaeology Journal, (1994), pp.11–23. DOI: http://doi.org/10.16995/TRAC1994_11_23",Durham University,England,University,Britain,colonialism,,historiography
36,"Ferris, I",Insignificant Others: Images of Barbarians on Military Art from Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1995,pp.24-31,4,proc,1,FALSE,"Ferris, I., 1995. Insignificant Others: Images of Barbarians on Military Art from Roman Britain. Theoretical Roman Archaeology Journal, (1994), pp.24–31. DOI: http://doi.org/10.16995/TRAC1994_24_31",University of Birmingham,England,University,Britain,society change,transition,art epigraphy
37,"Zoll, A",Patterns of Worship in Roman Britain: Double-Named Deities in Context,Theoretical Roman Archaeology Conference Proceedings,1995,pp.32-44,4,proc,1,FALSE,"Zoll, A.L., 1995. Patterns of Worship in Roman Britain: Double-Named Deities in Context. Theoretical Roman Archaeology Journal, (1994), pp.33–44. DOI: http://doi.org/10.16995/TRAC1994_33_44",University of Pennsylvania,USA,University,Britain Germany,ritual religion,deities,epigraphy
38,"Isserlin, R",An Archaeology of Brief Time: Monuments and Seasonality in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1995,pp.45-56,4,proc,1,FALSE,"Isserlin, R.M.J., 1995. An Archaeology of Brief Time: Monuments and Seasonality in Roman Britain. Theoretical Roman Archaeology Journal, (1994), pp.45–56. DOI: http://doi.org/10.16995/TRAC1994_45_56",University of Leeds,England,University,Britain,time,monument,epigraphy
39,"Smith, C",Ritual and Archaeology in Early Latium,Theoretical Roman Archaeology Conference Proceedings,1995,pp.57-64,4,proc,1,FALSE,"Smith, C., 1995. Ritual and Archaeology in Early Latium. Theoretical Roman Archaeology Journal, (1994), pp.57–64. DOI: http://doi.org/10.16995/TRAC1994_57_64",University of St Andrews,Scotland,University,Italy,ritual,,history
40,"Ellis, S",Lighting in Late Roman Houses,Theoretical Roman Archaeology Conference Proceedings,1995,pp.65-71,4,proc,1,FALSE,"Ellis, S., 1995. Lighting in Late Roman Houses. Theoretical Roman Archaeology Journal, (1994), pp.65–71. DOI: http://doi.org/10.16995/TRAC1994_65_71",UNESCO,France,International organisation,,space society,houses light,
41,"Clarke, S",A Quantitative Analysis of the Finds from the Roman Fort of Newstead – Some Preliminary Findings,Theoretical Roman Archaeology Conference Proceedings,1995,pp.72-82,4,proc,1,FALSE,"Clarke, S., 1995. A Quantitative Analysis of the Finds from the Roman Fort of Newstead – Some Preliminary Findings. Theoretical Roman Archaeology Journal, (1994), pp.72–82. DOI: http://doi.org/10.16995/TRAC1994_72_82",University of Bradford,England,University,Britain,society,military fort,
42,"Hoffman, B",Use of Space and Variability of Ground Plans: A Study of Legionary Centurions’ Quarters,Theoretical Roman Archaeology Conference Proceedings,1995,pp.83-89,4,proc,1,FALSE,"Hoffmann, B., 1995. Use of Space and Variability of Ground Plans: A Study of Legionary Centurions’ Quarters. Theoretical Roman Archaeology Journal, (1994), pp.83–89. DOI: http://doi.org/10.16995/TRAC1994_83_89",Independent Researcher,Unknown,Independent,Britain Switzerland Austria,space,architecture military,
43,"Woolliscroft, D","Reading the Tea Leaves, Signalling as a Means of Prophesy on Roman Frontiers",Theoretical Roman Archaeology Conference Proceedings,1995,pp.90-98,4,proc,1,FALSE,"Woolliscroft, D.J., 1995. Reading the Tea Leaves, Signalling as a Means of Prophesy on Roman Frontiers. Theoretical Roman Archaeology Journal, (1994), pp.90–98. DOI: http://doi.org/10.16995/TRAC1994_90_98",University of Liverpool,England,University,Germany,frontier visibility,military,
44,"Millett, M",Treasure: Interpreting Roman Hoards,Theoretical Roman Archaeology Conference Proceedings,1995,pp.99-106,4,proc,1,FALSE,"Millett, M., 1995. Treasure: Interpreting Roman Hoards. Theoretical Roman Archaeology Journal, (1994), pp.99–106. DOI: http://doi.org/10.16995/TRAC1994_99_106",University of Cambridge,England,University,Britain,structured-deposition,hoards treasure,
45,"Johns, C",Treasure: Romano-British Precious Metal Hoards: Some Comments on Martin Millett’s Paper,Theoretical Roman Archaeology Conference Proceedings,1995,pp.107-117,4,proc,1,FALSE,"Johns, C., 1995. Treasure: Romano-British Precious Metal Hoards: Some Comments on Martin Millett’s Paper. Theoretical Roman Archaeology Journal, (1994), pp.107–117. DOI: http://doi.org/10.16995/TRAC1994_107_117",British Museum,England,National museum,Britain,structured-deposition,hoards material-culture,
46,"Matthews, K",An Archaeology of Homosexuality? Perspectives from the Classical World,Theoretical Roman Archaeology Conference Proceedings,1995,pp.118-132,4,proc,1,FALSE,"Matthews, K., 1995. An Archaeology of Homosexuality? Perspectives from the Classical World . Theoretical Roman Archaeology Journal, (1994), pp.118–132. DOI: http://doi.org/10.16995/TRAC1994_118_132",North Hertfordshire District Council’s Museums Service,England,Regional museum,,queer gender,history,text history
47,"Meadows, K","You Are What You Eat: Diet, Identity and Romanisation",Theoretical Roman Archaeology Conference Proceedings,1995,pp.133-140,4,proc,1,FALSE,"Meadows, K.I., 1995. You Are What You Eat: Diet, Identity and Romanisation . Theoretical Roman Archaeology Journal, (1994), pp.133–140. DOI: http://doi.org/10.16995/TRAC1994_133_140",University of Sheffield,England,University,Britain,identity romanization,diet houses,
48,"Willis, S",Roman Imports Into Late Iron Age British Societies: Towards a Critique of Existing Models,Theoretical Roman Archaeology Conference Proceedings,1995,pp.141-150,4,proc,1,FALSE,"Willis, S., 1995. Roman Imports Into Late Iron Age British Societies: Towards a Critique of Existing Models. Theoretical Roman Archaeology Journal, (1994), pp.141–150. DOI: http://doi.org/10.16995/TRAC1994_141_150",University of Kent,England,University,Britain,society change structured-deposition imperialism,imports material-culture transition,
49,"Ferris, I",Alchemy of Suffering: Hope and Faith Beyond the Healing Art in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1999,pp.1-13,3,proc,1,FALSE,"Ferris, I.M., 1999. Alchemy of Suffering: Hope and Faith Beyond the Healing Art in Roman Britain. Theoretical Roman Archaeology Journal, (1993), pp.1–13. DOI: http://doi.org/10.16995/TRAC1993_1_13",University of Birmingham,England,University,Britain,religion practice,medicine,epigraphy
50,"Matthews, K","Britannus/Britto: Roman Ethnographies, Native Identities, Labels, and Folk Devils",Theoretical Roman Archaeology Conference Proceedings,1999,pp.14-32,3,proc,1,FALSE,"Matthews, K.J., 1999. Britannus/Britto: Roman Ethnographies, Native Identities, Labels, and Folk Devils. Theoretical Roman Archaeology Journal, (1993), pp.14–32. DOI: http://doi.org/10.16995/TRAC1993_14_32",North Hertfordshire District Council’s Museums Service,England,Regional museum,Britain,identity ethnicity,burial,ethnography text
51,"Woolf, A","Adventus, Patrocinium, and the Urban Landscape in Late Roman Britain",Theoretical Roman Archaeology Conference Proceedings,1999,pp.33-47,3,proc,1,FALSE,"Woolf, A., 1999. Adventus, Patrocinium, and the Urban Landscape in Late Roman Britain. Theoretical Roman Archaeology Journal, (1993), pp.33–47. DOI: http://doi.org/10.16995/TRAC1993_33_47",University of St Andrews,Scotland,University,Britain,urbanism landscape change,post-Roman,
52,"Grahame, M",Reading the Roman House: The Social Interpretation of Spatial Order,Theoretical Roman Archaeology Conference Proceedings,1999,pp.48-74,3,proc,1,FALSE,"Grahame, M., 1999. Reading the Roman House: The Social Interpretation of Spatial Order. Theoretical Roman Archaeology Journal, (1993), pp.48–74. DOI: http://doi.org/10.16995/TRAC1993_48_74",Independent Researcher,Unknown,Independent,,space society power boundary,houses,
53,"Ellis, S",Theories of Circulation in Roman Houses,Theoretical Roman Archaeology Conference Proceedings,1999,pp.75-98,3,proc,1,FALSE,"Ellis, S.P., 1999. Theories of Circulation in Roman Houses. Theoretical Roman Archaeology Journal, (1993), pp.75–98. DOI: http://doi.org/10.16995/TRAC1993_75_98",UNESCO,France,International organisation,Italy Britain,culture space power,houses architecture,
54,"Nevett, L",Greek Households under Roman Hegemony: The Archaeological Evidence,Theoretical Roman Archaeology Conference Proceedings,1999,pp.99-110,3,proc,1,FALSE,"Nevett, L., 1999. Greek Households under Roman Hegemony: The Archaeological Evidence. Theoretical Roman Archaeology Journal, (1993), pp.99–110. DOI: http://doi.org/10.16995/TRAC1993_99_110",University of Michigan,USA,University,Greece,practice society gender power,houses,
55,"Clarke, S",Architectural and Social Change During the Roman Period,Theoretical Roman Archaeology Conference Proceedings,1999,pp.111-121,3,proc,1,FALSE,"Clarke, S., 1999. Architectural and Social Change During the Roman Period. Theoretical Roman Archaeology Journal, (1993), pp.111–121. DOI: http://doi.org/10.16995/TRAC1993_111_121",University of Bradford,England,University,Britain,society change acculturation nature,architecture villa,
56,"Samson, R",Slavish Nonsense or the Talking Tool,Theoretical Roman Archaeology Conference Proceedings,1999,pp.122-140,3,proc,1,FALSE,"Samson, R., 1999. Slavish Nonsense or the Talking Tool. Theoretical Roman Archaeology Journal, (1993), pp.122–140. DOI: http://doi.org/10.16995/TRAC1993_122_140",Unknown,Unknown,Unknown,,slavery space,villa,historiography epigraphy
57,"Matthews, K",Death into Life: Population Statistics from Cemetery Data,Theoretical Roman Archaeology Conference Proceedings,1999,pp.141-161,3,proc,1,FALSE,"Matthews, K.J., 1999. Death into Life: Population Statistics from Cemetery Data. Theoretical Roman Archaeology Journal, (1993), pp.141–161. DOI: http://doi.org/10.16995/TRAC1993_141_161",North Hertfordshire District Council’s Museums Service,England,Regional museum,Britain,death demography,burial,
58,"Dawson, M",Function and Symbol: The Development of Towns in Roman Dacia,Theoretical Roman Archaeology Conference Proceedings,1999,pp.162-190,3,proc,1,FALSE,"Dawson, M., 1999. Function and Symbol: The Development of Towns in Roman Dacia. Theoretical Roman Archaeology Journal, (1993), pp.162–190. DOI: http://doi.org/10.16995/TRAC1993_162_190",RPS Heritage,England,Archaeological consultancy,Romania,urbanism colonialism,prehistory,
59,"Ferris, I",Invisible Architecture: Inside the Roman Memory Palace,Theoretical Roman Archaeology Conference Proceedings,1999,pp.191-199,3,proc,1,FALSE,"Ferris, I.M., 1999. Invisible Architecture: Inside the Roman Memory Palace. Theoretical Roman Archaeology Journal, (1993), pp.191–199. DOI: http://doi.org/10.16995/TRAC1993_191_199",University of Birmingham,England,University,,memory,architecture,text
60,"Guest, P",The Interpretation of Roman Coins - Practice and Theory,Theoretical Roman Archaeology Conference Proceedings,1999,pp.200-212,3,proc,1,FALSE,"Guest, P., 1999. The Interpretation of Roman Coins - Practice and Theory. Theoretical Roman Archaeology Journal, (1993), pp.200–212. DOI: http://doi.org/10.16995/TRAC1993_200_212",Cardiff University,Wales,University,,practice,coins,historiography
61,"Meadows, K Lemke, C Heron, J",Preface,Theoretical Roman Archaeology Conference Proceedings,1997,pp.i-iv,6,proc,3,TRUE,"Meadows, K., Lemke, C. and Heron, J., 1997. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (1996), p.i–iv. DOI: http://doi.org/10.16995/TRAC1996_i_iv",University of Sheffield,England,University,,,preface,
62,"Barrett, J",Theorising Roman Archaeology,Theoretical Roman Archaeology Conference Proceedings,1997,pp.1-7,6,proc,1,FALSE,"Barrett, J.C., 1997. Theorising Roman Archaeology . Theoretical Roman Archaeology Journal, (1996), pp.1–7. DOI: http://doi.org/10.16995/TRAC1996_1_7",University of Sheffield,England,University,,post-colonial society multi-vocality,,
63,"Freeman, P",‘Romanization – Imperialism’ – What are We Talking About?,Theoretical Roman Archaeology Conference Proceedings,1997,pp.8-14,6,proc,1,FALSE,"Freeman, P., 1997. ‘Romanization – Imperialism’ – What are We Talking About?. Theoretical Roman Archaeology Journal, (1996), pp.8–14. DOI: http://doi.org/10.16995/TRAC1996_8_14",University of Liverpool,England,University,,romanization imperialism,,comparative
64,"Forcey, C",Beyond ‘Romanization’: Technologies of Power in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1997,pp.15-21,6,proc,1,FALSE,"Forcey, C., 1997. Beyond ‘Romanization’: Technologies of Power in Roman Britain. Theoretical Roman Archaeology Journal, (1996), pp.15–21. DOI: http://doi.org/10.16995/TRAC1996_15_21",University of Nottingham,England,University,Britain,romanization technology,,
65,"Ferris, I","The Enemy Without, The Enemy Within: More Thoughts on Images of Barbarians in Greek and Roman Art",Theoretical Roman Archaeology Conference Proceedings,1997,pp.22-28,6,proc,1,FALSE,"Ferris, I., 1997. The Enemy Without, The Enemy Within: More Thoughts on Images of Barbarians in Greek and Roman Art . Theoretical Roman Archaeology Journal, (1996), pp.22–28. DOI: http://doi.org/10.16995/TRAC1996_22_28",University of Birmingham,England,University,,imperialism,,art
66,"Hawthorne, J",Post Processual Economics: The Role of African Red Slip Ware Vessel Volume in Mediterranean Demography,Theoretical Roman Archaeology Conference Proceedings,1997,pp.29-37,6,proc,1,FALSE,"Hawthorne, J.W.J., 1997. Post Processual Economics: The Role of African Red Slip Ware Vessel Volume in Mediterranean Demography . Theoretical Roman Archaeology Journal, (1996), pp.29–37. DOI: http://doi.org/10.16995/TRAC1996_29_37",Unknown,Unknown,Unknown,,economy demography,pottery,
67,"Willis, S",Samian: Beyond Dating,Theoretical Roman Archaeology Conference Proceedings,1997,pp.38-54,6,proc,1,FALSE,"Willis, S., 1997. Samian: Beyond Dating. Theoretical Roman Archaeology Journal, (1996), pp.38–54. DOI: http://doi.org/10.16995/TRAC1996_38_54",University of Kent,England,University,,society,pottery,
68,"Rush, P","Symbols, Pottery and Trade",Theoretical Roman Archaeology Conference Proceedings,1997,pp.55-64,6,proc,1,FALSE,"Rush, P., 1997. Symbols, Pottery and Trade. Theoretical Roman Archaeology Journal, (1996), pp.55–64. DOI: http://doi.org/10.16995/TRAC1996_55_64",University of Bradford,England,University,Britain,production economy symbolism,pottery,
69,"Hutcheson, A",NATIVE or ROMAN? Ironwork Hoards in Northern Britain,Theoretical Roman Archaeology Conference Proceedings,1997,pp.65-72,6,proc,1,FALSE,"Hutcheson, A.R.J., 1997. NATIVE or ROMAN? Ironwork Hoards in Northern Britain. Theoretical Roman Archaeology Journal, (1996), pp.65–72. DOI: http://doi.org/10.16995/TRAC1996_65_72",Unknown,Unknown,Unknown,Britain,imperialism romanization,metalwork,
