ID,authors,title,journal,year_pub,pages,journal_issue,number_authors,collaborative,full_reference,lead_author_institution,people_ackowledged,no_people_acknowledged,institution_country,country_topic,institution_type,theory_topic,subject_topic,method_topic,type
29,"Monaghan, J",Roman Pottery Research for the 1990s,Theoretical Roman Archaeology Conference Proceedings,1994,148-157,2,1,FALSE,"Monaghan, J., 1995. Roman Pottery Research for the 1990s . Theoretical Roman Archaeology Journal, (1992), pp.148–157. DOI: http://doi.org/10.16995/TRAC1992_148_157",Freelance Archaeologist,FALSE,0,Unknown,Britain,Unknown,economy society,pottery,,proc
30,"Jones, M","Theory, Practice and Research in an Urban Unit: a Personal Perspective",Theoretical Roman Archaeology Conference Proceedings,1994,158-173,2,1,FALSE,"Jones, M.J., 1995. Theory, Practice, and Research in an Urban Unit: A Personal Perspective . Theoretical Roman Archaeology Journal, (1992), pp.158–173. DOI: http://doi.org/10.16995/TRAC1992_158_173",City of Lincoln Archaeology Unit,TRUE,7,England,,Commercial archaeological contractor,practice urbanism,commercial-archaeology academia,,proc
31,"Scott, E",Women and Gender Relations in the Roman Empire,Theoretical Roman Archaeology Conference Proceedings,1994,174-189,2,1,FALSE,"Scott, E., 1995. Women and Gender Relations in the Roman Empire. Theoretical Roman Archaeology Journal, (1992), pp.174–189. DOI: http://doi.org/10.16995/TRAC1992_174_189","King Alfred's University College, Winchester",FALSE,0,England,,University,gender feminism,,historiography text,proc
32,"Leslie, A",Front Matter,Theoretical Roman Archaeology Conference Proceedings,1999,i-iii,3,1,FALSE,"Leslie, A., 1999. Preface. Theoretical Roman Archaeology Journal, (1993), p.i–ii. DOI: http://doi.org/10.16995/TRAC1993_i_iii",University of Glasgow,FALSE,0,Scotland,,University,,preface,,proc
33,"Cottam, S Dungworth, D Scott, S Taylor, J",Preface,Theoretical Roman Archaeology Conference Proceedings,1995,i-iv,4,4,TRUE,"Cottam, S., Dungworth, D., Scott, S. and Taylor, J., 1995. Preface and Editor’s Preface. Theoretical Roman Archaeology Journal, (1994), p.i–iv. DOI: http://doi.org/10.16995/TRAC1994_i_iv",Durham University,FALSE,0,England,,University,,preface,,proc
34,"Webster, J",The Just War: Graeco-Roman Texts as Colonial Discourse,Theoretical Roman Archaeology Conference Proceedings,1995,1-10,4,1,FALSE,"Webster, J., 1995. The Just War: Graeco-Roman Texts as Colonial Discourse. Theoretical Roman Archaeology Journal, (1994), pp.1–10. DOI: http://doi.org/10.16995/TRAC1994_1_10",Newcastle University,FALSE,0,England,France,University,colonialism,,text,proc
35,"Hingley, R","Britannia, Origin Myths and the British Empire",Theoretical Roman Archaeology Conference Proceedings,1995,11-23,4,1,FALSE,"Hingley, R., 1995. Britannia, Origin Myths and the British Empire . Theoretical Roman Archaeology Journal, (1994), pp.11–23. DOI: http://doi.org/10.16995/TRAC1994_11_23",Durham University,TRUE,8,England,Britain,University,colonialism,,historiography,proc
36,"Ferris, I",Insignificant Others: Images of Barbarians on Military Art from Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1995,24-31,4,1,FALSE,"Ferris, I., 1995. Insignificant Others: Images of Barbarians on Military Art from Roman Britain. Theoretical Roman Archaeology Journal, (1994), pp.24–31. DOI: http://doi.org/10.16995/TRAC1994_24_31",University of Birmingham,TRUE,1,England,Britain,University,society change,transition,art epigraphy,proc
37,"Zoll, A",Patterns of Worship in Roman Britain: Double-Named Deities in Context,Theoretical Roman Archaeology Conference Proceedings,1995,32-44,4,1,FALSE,"Zoll, A.L., 1995. Patterns of Worship in Roman Britain: Double-Named Deities in Context. Theoretical Roman Archaeology Journal, (1994), pp.33–44. DOI: http://doi.org/10.16995/TRAC1994_33_44",University of Pennsylvania,FALSE,0,USA,Britain Germany,University,ritual religion,deities,epigraphy,proc
38,"Isserlin, R",An Archaeology of Brief Time: Monuments and Seasonality in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1995,45-56,4,1,FALSE,"Isserlin, R.M.J., 1995. An Archaeology of Brief Time: Monuments and Seasonality in Roman Britain. Theoretical Roman Archaeology Journal, (1994), pp.45–56. DOI: http://doi.org/10.16995/TRAC1994_45_56",University of Leeds,TRUE,5,England,Britain,University,time,monument,epigraphy,proc
39,"Smith, C",Ritual and Archaeology in Early Latium,Theoretical Roman Archaeology Conference Proceedings,1995,57-64,4,1,FALSE,"Smith, C., 1995. Ritual and Archaeology in Early Latium. Theoretical Roman Archaeology Journal, (1994), pp.57–64. DOI: http://doi.org/10.16995/TRAC1994_57_64",University of St Andrews,FALSE,0,Scotland,Italy,University,ritual,,history,proc
40,"Ellis, S",Lighting in Late Roman Houses,Theoretical Roman Archaeology Conference Proceedings,1995,65-71,4,1,FALSE,"Ellis, S., 1995. Lighting in Late Roman Houses. Theoretical Roman Archaeology Journal, (1994), pp.65–71. DOI: http://doi.org/10.16995/TRAC1994_65_71",UNESCO,FALSE,0,France,,International organisation,space society,houses light,,proc
41,"Clarke, S",A Quantitative Analysis of the Finds from the Roman Fort of Newstead – Some Preliminary Findings,Theoretical Roman Archaeology Conference Proceedings,1995,72-82,4,1,FALSE,"Clarke, S., 1995. A Quantitative Analysis of the Finds from the Roman Fort of Newstead – Some Preliminary Findings. Theoretical Roman Archaeology Journal, (1994), pp.72–82. DOI: http://doi.org/10.16995/TRAC1994_72_82",University of Bradford,FALSE,0,England,Britain,University,society,military fort,,proc
42,"Hoffman, B",Use of Space and Variability of Ground Plans: A Study of Legionary Centurions’ Quarters,Theoretical Roman Archaeology Conference Proceedings,1995,83-89,4,1,FALSE,"Hoffmann, B., 1995. Use of Space and Variability of Ground Plans: A Study of Legionary Centurions’ Quarters. Theoretical Roman Archaeology Journal, (1994), pp.83–89. DOI: http://doi.org/10.16995/TRAC1994_83_89",Independent Researcher,FALSE,0,Unknown,Britain Switzerland Austria,Independent,space,architecture military,,proc
43,"Woolliscroft, D","Reading the Tea Leaves, Signalling as a Means of Prophesy on Roman Frontiers",Theoretical Roman Archaeology Conference Proceedings,1995,90-98,4,1,FALSE,"Woolliscroft, D.J., 1995. Reading the Tea Leaves, Signalling as a Means of Prophesy on Roman Frontiers. Theoretical Roman Archaeology Journal, (1994), pp.90–98. DOI: http://doi.org/10.16995/TRAC1994_90_98",University of Liverpool,FALSE,0,England,Germany,University,frontier visibility,military,,proc
44,"Millett, M",Treasure: Interpreting Roman Hoards,Theoretical Roman Archaeology Conference Proceedings,1995,99-106,4,1,FALSE,"Millett, M., 1995. Treasure: Interpreting Roman Hoards. Theoretical Roman Archaeology Journal, (1994), pp.99–106. DOI: http://doi.org/10.16995/TRAC1994_99_106",University of Cambridge,TRUE,3,England,Britain,University,structured-deposition,hoards treasure,,proc
45,"Johns, C",Treasure: Romano-British Precious Metal Hoards: Some Comments on Martin Millett’s Paper,Theoretical Roman Archaeology Conference Proceedings,1995,107-117,4,1,FALSE,"Johns, C., 1995. Treasure: Romano-British Precious Metal Hoards: Some Comments on Martin Millett’s Paper. Theoretical Roman Archaeology Journal, (1994), pp.107–117. DOI: http://doi.org/10.16995/TRAC1994_107_117",British Museum,TRUE,9,England,Britain,National museum,structured-deposition,hoards material-culture,,proc
46,"Matthews, K",An Archaeology of Homosexuality? Perspectives from the Classical World,Theoretical Roman Archaeology Conference Proceedings,1995,118-132,4,1,FALSE,"Matthews, K., 1995. An Archaeology of Homosexuality? Perspectives from the Classical World . Theoretical Roman Archaeology Journal, (1994), pp.118–132. DOI: http://doi.org/10.16995/TRAC1994_118_132",North Hertfordshire District Council’s Museums Service,FALSE,0,England,,Regional museum,queer gender,history,text history,proc
47,"Meadows, K","You Are What You Eat: Diet, Identity and Romanisation",Theoretical Roman Archaeology Conference Proceedings,1995,133-140,4,1,FALSE,"Meadows, K.I., 1995. You Are What You Eat: Diet, Identity and Romanisation . Theoretical Roman Archaeology Journal, (1994), pp.133–140. DOI: http://doi.org/10.16995/TRAC1994_133_140",University of Sheffield,TRUE,4,England,Britain,University,identity romanization,diet houses,,proc
48,"Willis, S",Roman Imports Into Late Iron Age British Societies: Towards a Critique of Existing Models,Theoretical Roman Archaeology Conference Proceedings,1995,141-150,4,1,FALSE,"Willis, S., 1995. Roman Imports Into Late Iron Age British Societies: Towards a Critique of Existing Models. Theoretical Roman Archaeology Journal, (1994), pp.141–150. DOI: http://doi.org/10.16995/TRAC1994_141_150",University of Kent,TRUE,1,England,Britain,University,society change structured-deposition imperialism,imports material-culture transition,,proc
49,"Ferris, I",Alchemy of Suffering: Hope and Faith Beyond the Healing Art in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1999,1-13,3,1,FALSE,"Ferris, I.M., 1999. Alchemy of Suffering: Hope and Faith Beyond the Healing Art in Roman Britain. Theoretical Roman Archaeology Journal, (1993), pp.1–13. DOI: http://doi.org/10.16995/TRAC1993_1_13",University of Birmingham,FALSE,0,England,Britain,University,religion practice,medicine,epigraphy,proc
50,"Matthews, K","Britannus/Britto: Roman Ethnographies, Native Identities, Labels, and Folk Devils",Theoretical Roman Archaeology Conference Proceedings,1999,14-32,3,1,FALSE,"Matthews, K.J., 1999. Britannus/Britto: Roman Ethnographies, Native Identities, Labels, and Folk Devils. Theoretical Roman Archaeology Journal, (1993), pp.14–32. DOI: http://doi.org/10.16995/TRAC1993_14_32",North Hertfordshire District Council’s Museums Service,FALSE,0,England,Britain,Regional museum,identity ethnicity,burial,ethnography text,proc
51,"Woolf, A","Adventus, Patrocinium, and the Urban Landscape in Late Roman Britain",Theoretical Roman Archaeology Conference Proceedings,1999,33-47,3,1,FALSE,"Woolf, A., 1999. Adventus, Patrocinium, and the Urban Landscape in Late Roman Britain. Theoretical Roman Archaeology Journal, (1993), pp.33–47. DOI: http://doi.org/10.16995/TRAC1993_33_47",University of St Andrews,TRUE,7,Scotland,Britain,University,urbanism landscape change,post-Roman,,proc
52,"Grahame, M",Reading the Roman House: The Social Interpretation of Spatial Order,Theoretical Roman Archaeology Conference Proceedings,1999,48-74,3,1,FALSE,"Grahame, M., 1999. Reading the Roman House: The Social Interpretation of Spatial Order. Theoretical Roman Archaeology Journal, (1993), pp.48–74. DOI: http://doi.org/10.16995/TRAC1993_48_74",Independent Researcher,TRUE,4,Unknown,,Independent,space society power boundary,houses,,proc
53,"Ellis, S",Theories of Circulation in Roman Houses,Theoretical Roman Archaeology Conference Proceedings,1999,75-98,3,1,FALSE,"Ellis, S.P., 1999. Theories of Circulation in Roman Houses. Theoretical Roman Archaeology Journal, (1993), pp.75–98. DOI: http://doi.org/10.16995/TRAC1993_75_98",UNESCO,FALSE,0,France,Italy Britain,International organisation,culture space power,houses architecture,,proc
54,"Nevett, L",Greek Households under Roman Hegemony: The Archaeological Evidence,Theoretical Roman Archaeology Conference Proceedings,1999,99-110,3,1,FALSE,"Nevett, L., 1999. Greek Households under Roman Hegemony: The Archaeological Evidence. Theoretical Roman Archaeology Journal, (1993), pp.99–110. DOI: http://doi.org/10.16995/TRAC1993_99_110",University of Michigan,FALSE,0,USA,Greece,University,practice society gender power,houses,,proc
55,"Clarke, S",Architectural and Social Change During the Roman Period,Theoretical Roman Archaeology Conference Proceedings,1999,111-121,3,1,FALSE,"Clarke, S., 1999. Architectural and Social Change During the Roman Period. Theoretical Roman Archaeology Journal, (1993), pp.111–121. DOI: http://doi.org/10.16995/TRAC1993_111_121",University of Bradford,FALSE,0,England,Britain,University,society change acculturation nature,architecture villa,,proc
56,"Samson, R",Slavish Nonsense or the Talking Tool,Theoretical Roman Archaeology Conference Proceedings,1999,122-140,3,1,FALSE,"Samson, R., 1999. Slavish Nonsense or the Talking Tool. Theoretical Roman Archaeology Journal, (1993), pp.122–140. DOI: http://doi.org/10.16995/TRAC1993_122_140",Unknown,FALSE,0,Unknown,,Unknown,slavery space,villa,historiography epigraphy,proc
57,"Matthews, K",Death into Life: Population Statistics from Cemetery Data,Theoretical Roman Archaeology Conference Proceedings,1999,141-161,3,1,FALSE,"Matthews, K.J., 1999. Death into Life: Population Statistics from Cemetery Data. Theoretical Roman Archaeology Journal, (1993), pp.141–161. DOI: http://doi.org/10.16995/TRAC1993_141_161",North Hertfordshire District Council’s Museums Service,FALSE,0,England,Britain,Regional museum,death demography,burial,,proc
58,"Dawson, M",Function and Symbol: The Development of Towns in Roman Dacia,Theoretical Roman Archaeology Conference Proceedings,1999,162-190,3,1,FALSE,"Dawson, M., 1999. Function and Symbol: The Development of Towns in Roman Dacia. Theoretical Roman Archaeology Journal, (1993), pp.162–190. DOI: http://doi.org/10.16995/TRAC1993_162_190",RPS Heritage,FALSE,0,England,Romania,Archaeological consultancy,urbanism colonialism,prehistory,,proc
59,"Ferris, I",Invisible Architecture: Inside the Roman Memory Palace,Theoretical Roman Archaeology Conference Proceedings,1999,191-199,3,1,FALSE,"Ferris, I.M., 1999. Invisible Architecture: Inside the Roman Memory Palace. Theoretical Roman Archaeology Journal, (1993), pp.191–199. DOI: http://doi.org/10.16995/TRAC1993_191_199",University of Birmingham,FALSE,0,England,,University,memory,architecture,text,proc
60,"Guest, P",The Interpretation of Roman Coins - Practice and Theory,Theoretical Roman Archaeology Conference Proceedings,1999,200-212,3,1,FALSE,"Guest, P., 1999. The Interpretation of Roman Coins - Practice and Theory. Theoretical Roman Archaeology Journal, (1993), pp.200–212. DOI: http://doi.org/10.16995/TRAC1993_200_212",Cardiff University,TRUE,2,Wales,,University,practice,coins,historiography,proc
61,"Meadows, K Lemke, C Heron, J",Preface,Theoretical Roman Archaeology Conference Proceedings,1997,i-iv,6,3,TRUE,"Meadows, K., Lemke, C. and Heron, J., 1997. Preface and Editors’ Preface. Theoretical Roman Archaeology Journal, (1996), p.i–iv. DOI: http://doi.org/10.16995/TRAC1996_i_iv",University of Sheffield,FALSE,0,England,,University,,preface,,proc
62,"Barrett, J",Theorising Roman Archaeology,Theoretical Roman Archaeology Conference Proceedings,1997,1-7,6,1,FALSE,"Barrett, J.C., 1997. Theorising Roman Archaeology . Theoretical Roman Archaeology Journal, (1996), pp.1–7. DOI: http://doi.org/10.16995/TRAC1996_1_7",University of Sheffield,FALSE,0,England,,University,post-colonial society multi-vocality,,,proc
63,"Freeman, P",‘Romanization – Imperialism’ – What are We Talking About?,Theoretical Roman Archaeology Conference Proceedings,1997,8-14,6,1,FALSE,"Freeman, P., 1997. ‘Romanization – Imperialism’ – What are We Talking About?. Theoretical Roman Archaeology Journal, (1996), pp.8–14. DOI: http://doi.org/10.16995/TRAC1996_8_14",University of Liverpool,TRUE,3,England,,University,romanization imperialism,,comparative,proc
64,"Forcey, C",Beyond ‘Romanization’: Technologies of Power in Roman Britain,Theoretical Roman Archaeology Conference Proceedings,1997,15-21,6,1,FALSE,"Forcey, C., 1997. Beyond ‘Romanization’: Technologies of Power in Roman Britain. Theoretical Roman Archaeology Journal, (1996), pp.15–21. DOI: http://doi.org/10.16995/TRAC1996_15_21",University of Nottingham,TRUE,2,England,Britain,University,romanization technology,,,proc
65,"Ferris, I","The Enemy Without, The Enemy Within: More Thoughts on Images of Barbarians in Greek and Roman Art",Theoretical Roman Archaeology Conference Proceedings,1997,22-28,6,1,FALSE,"Ferris, I., 1997. The Enemy Without, The Enemy Within: More Thoughts on Images of Barbarians in Greek and Roman Art . Theoretical Roman Archaeology Journal, (1996), pp.22–28. DOI: http://doi.org/10.16995/TRAC1996_22_28",University of Birmingham,TRUE,3,England,,University,imperialism,,art,proc
66,"Hawthorne, J",Post Processual Economics: The Role of African Red Slip Ware Vessel Volume in Mediterranean Demography,Theoretical Roman Archaeology Conference Proceedings,1997,29-37,6,1,FALSE,"Hawthorne, J.W.J., 1997. Post Processual Economics: The Role of African Red Slip Ware Vessel Volume in Mediterranean Demography . Theoretical Roman Archaeology Journal, (1996), pp.29–37. DOI: http://doi.org/10.16995/TRAC1996_29_37",Unknown,FALSE,0,Unknown,,Unknown,economy demography,pottery,,proc
67,"Willis, S",Samian: Beyond Dating,Theoretical Roman Archaeology Conference Proceedings,1997,38-54,6,1,FALSE,"Willis, S., 1997. Samian: Beyond Dating. Theoretical Roman Archaeology Journal, (1996), pp.38–54. DOI: http://doi.org/10.16995/TRAC1996_38_54",University of Kent,TRUE,3,England,,University,society,pottery,,proc
